pkg_id	ent_no	attr_no	class_id_int	Characteristic	Entity
ark:/90135/q10c4sq8/1/mrt-eml.xml	1	1			
ark:/90135/q10c4sq8/1/mrt-eml.xml	1	2	2188	envo:air	pato:temperature
ark:/90135/q10c4sq8/1/mrt-eml.xml	1	3	2189	envo:air	pato:pressure
ark:/90135/q10c4sq8/1/mrt-eml.xml	1	4	2191	envo:air	ecso:relative_humidity
ark:/90135/q10g3h3j/1/mrt-eml.xml	1	1			
ark:/90135/q11g0j7x/1/mrt-eml.xml	1	1			
ark:/90135/q11g0j7x/2/mrt-eml.xml	1	1			
ark:/90135/q1348h9m/1/mrt-eml.xml	1	1			
ark:/90135/q1348h9m/1/mrt-eml.xml	1	2	2188	envo:air	pato:temperature
ark:/90135/q1348h9m/1/mrt-eml.xml	1	3	2189	envo:air	pato:pressure
ark:/90135/q1348h9m/1/mrt-eml.xml	1	4	2191	envo:air	ecso:relative_humidity
ark:/90135/q13j39xf/4/mrt-eml.xml	1	1	2413	envo:sea_water	ecso:salinity
ark:/90135/q13j39xf/4/mrt-eml.xml	1	2	2405	envo:sea_water	pato:temperature
ark:/90135/q13j39xf/4/mrt-eml.xml	1	3	3338	ecso:protocol_treatment	oboe-characteristics:Name
ark:/90135/q13j39xf/4/mrt-eml.xml	1	4	3339	ecso:replicate	oboe-characteristics:Name
ark:/90135/q13j39xf/4/mrt-eml.xml	1	5	3341	ecso:protocol_time_step	pato:duration
ark:/90135/q13j39xf/4/mrt-eml.xml	1	6	3343	ecso:copepod_nauplius_stage	oboe-characteristics:Proportion
ark:/90135/q13j39xf/4/mrt-eml.xml	1	7	3343	ecso:copepod_nauplius_stage	oboe-characteristics:Proportion
ark:/90135/q13j39xf/4/mrt-eml.xml	1	8	3343	ecso:copepod_nauplius_stage	oboe-characteristics:Proportion
ark:/90135/q13j39xf/4/mrt-eml.xml	1	9	3343	ecso:copepod_nauplius_stage	oboe-characteristics:Proportion
ark:/90135/q13j39xf/4/mrt-eml.xml	1	10	3343	ecso:copepod_nauplius_stage	oboe-characteristics:Proportion
ark:/90135/q13j39xf/4/mrt-eml.xml	1	11	3343	ecso:copepod_nauplius_stage	oboe-characteristics:Proportion
ark:/90135/q13j39xf/4/mrt-eml.xml	1	12	3345	ecso:copepod_copepodite_stage	oboe-characteristics:Proportion
ark:/90135/q13j39xf/4/mrt-eml.xml	1	13	3345	ecso:copepod_copepodite_stage	oboe-characteristics:Proportion
ark:/90135/q13j39xf/4/mrt-eml.xml	1	14	3345	ecso:copepod_copepodite_stage	oboe-characteristics:Proportion
ark:/90135/q13j39xf/4/mrt-eml.xml	1	15	3345	ecso:copepod_copepodite_stage	oboe-characteristics:Proportion
ark:/90135/q13j39xf/4/mrt-eml.xml	1	16	3345	ecso:copepod_copepodite_stage	oboe-characteristics:Proportion
ark:/90135/q13j39xf/4/mrt-eml.xml	1	17	3345	ecso:copepod_copepodite_stage	oboe-characteristics:Proportion
ark:/90135/q13j39xf/4/mrt-eml.xml	1	18	3345	ecso:copepod_copepodite_stage	oboe-characteristics:Proportion
ark:/90135/q13j39xf/4/mrt-eml.xml	1	19	3347	ecso:copepod_adult_stage	oboe-characteristics:Proportion
ark:/90135/q13j39xf/4/mrt-eml.xml	1	20	3349	ecso:copepod_adult_stage_female	oboe-characteristics:Proportion
ark:/90135/q13j39xf/4/mrt-eml.xml	1	21	3351	ecso:copepod_adult_stage_male	oboe-characteristics:Proportion
ark:/90135/q13j39xf/6/mrt-eml.xml	1	1	2413	envo:sea_water	ecso:salinity
ark:/90135/q13j39xf/6/mrt-eml.xml	1	2	2405	envo:sea_water	pato:temperature
ark:/90135/q13j39xf/6/mrt-eml.xml	1	3	3338	ecso:protocol_treatment	oboe-characteristics:Name
ark:/90135/q13j39xf/6/mrt-eml.xml	1	4	3339	ecso:replicate	oboe-characteristics:Name
ark:/90135/q13j39xf/6/mrt-eml.xml	1	5	3341	ecso:protocol_time_step	pato:duration
ark:/90135/q13j39xf/6/mrt-eml.xml	1	6	3343	ecso:copepod_nauplius_stage	oboe-characteristics:Proportion
ark:/90135/q13j39xf/6/mrt-eml.xml	1	7	3343	ecso:copepod_nauplius_stage	oboe-characteristics:Proportion
ark:/90135/q13j39xf/6/mrt-eml.xml	1	8	3343	ecso:copepod_nauplius_stage	oboe-characteristics:Proportion
ark:/90135/q13j39xf/6/mrt-eml.xml	1	9	3343	ecso:copepod_nauplius_stage	oboe-characteristics:Proportion
ark:/90135/q13j39xf/6/mrt-eml.xml	1	10	3343	ecso:copepod_nauplius_stage	oboe-characteristics:Proportion
ark:/90135/q13j39xf/6/mrt-eml.xml	1	11	3343	ecso:copepod_nauplius_stage	oboe-characteristics:Proportion
ark:/90135/q13j39xf/6/mrt-eml.xml	1	12	3345	ecso:copepod_copepodite_stage	oboe-characteristics:Proportion
ark:/90135/q13j39xf/6/mrt-eml.xml	1	13	3345	ecso:copepod_copepodite_stage	oboe-characteristics:Proportion
ark:/90135/q13j39xf/6/mrt-eml.xml	1	14	3345	ecso:copepod_copepodite_stage	oboe-characteristics:Proportion
ark:/90135/q13j39xf/6/mrt-eml.xml	1	15	3345	ecso:copepod_copepodite_stage	oboe-characteristics:Proportion
ark:/90135/q13j39xf/6/mrt-eml.xml	1	16	3345	ecso:copepod_copepodite_stage	oboe-characteristics:Proportion
ark:/90135/q13j39xf/6/mrt-eml.xml	1	17	3345	ecso:copepod_copepodite_stage	oboe-characteristics:Proportion
ark:/90135/q13j39xf/6/mrt-eml.xml	1	18	3345	ecso:copepod_copepodite_stage	oboe-characteristics:Proportion
ark:/90135/q13j39xf/6/mrt-eml.xml	1	19	3347	ecso:copepod_adult_stage	oboe-characteristics:Proportion
ark:/90135/q13j39xf/6/mrt-eml.xml	1	20	3349	ecso:copepod_adult_stage_female	oboe-characteristics:Proportion
ark:/90135/q13j39xf/6/mrt-eml.xml	1	21	3351	ecso:copepod_adult_stage_male	oboe-characteristics:Proportion
ark:/90135/q13j39xf/7/mrt-eml.xml	1	1	2413	envo:sea_water	ecso:salinity
ark:/90135/q13j39xf/7/mrt-eml.xml	1	2	2405	envo:sea_water	pato:temperature
ark:/90135/q13j39xf/7/mrt-eml.xml	1	3	3338	ecso:protocol_treatment	oboe-characteristics:Name
ark:/90135/q13j39xf/7/mrt-eml.xml	1	4	3339	ecso:replicate	oboe-characteristics:Name
ark:/90135/q13j39xf/7/mrt-eml.xml	1	5	3341	ecso:protocol_time_step	pato:duration
ark:/90135/q13j39xf/7/mrt-eml.xml	1	6	3343	ecso:copepod_nauplius_stage	oboe-characteristics:Proportion
ark:/90135/q13j39xf/7/mrt-eml.xml	1	7	3343	ecso:copepod_nauplius_stage	oboe-characteristics:Proportion
ark:/90135/q13j39xf/7/mrt-eml.xml	1	8	3343	ecso:copepod_nauplius_stage	oboe-characteristics:Proportion
ark:/90135/q13j39xf/7/mrt-eml.xml	1	9	3343	ecso:copepod_nauplius_stage	oboe-characteristics:Proportion
ark:/90135/q13j39xf/7/mrt-eml.xml	1	10	3343	ecso:copepod_nauplius_stage	oboe-characteristics:Proportion
ark:/90135/q13j39xf/7/mrt-eml.xml	1	11	3343	ecso:copepod_nauplius_stage	oboe-characteristics:Proportion
ark:/90135/q13j39xf/7/mrt-eml.xml	1	12	3345	ecso:copepod_copepodite_stage	oboe-characteristics:Proportion
ark:/90135/q13j39xf/7/mrt-eml.xml	1	13	3345	ecso:copepod_copepodite_stage	oboe-characteristics:Proportion
ark:/90135/q13j39xf/7/mrt-eml.xml	1	14	3345	ecso:copepod_copepodite_stage	oboe-characteristics:Proportion
ark:/90135/q13j39xf/7/mrt-eml.xml	1	15	3345	ecso:copepod_copepodite_stage	oboe-characteristics:Proportion
ark:/90135/q13j39xf/7/mrt-eml.xml	1	16	3345	ecso:copepod_copepodite_stage	oboe-characteristics:Proportion
ark:/90135/q13j39xf/7/mrt-eml.xml	1	17	3345	ecso:copepod_copepodite_stage	oboe-characteristics:Proportion
ark:/90135/q13j39xf/7/mrt-eml.xml	1	18	3345	ecso:copepod_copepodite_stage	oboe-characteristics:Proportion
ark:/90135/q13j39xf/7/mrt-eml.xml	1	19	3347	ecso:copepod_adult_stage	oboe-characteristics:Proportion
ark:/90135/q13j39xf/7/mrt-eml.xml	1	20	3349	ecso:copepod_adult_stage_female	oboe-characteristics:Proportion
ark:/90135/q13j39xf/7/mrt-eml.xml	1	21	3351	ecso:copepod_adult_stage_male	oboe-characteristics:Proportion
ark:/90135/q14747tv/1/mrt-eml.xml	1	1			
ark:/90135/q14x55sv/1/mrt-eml.xml	1	1			
ark:/90135/q14x55sv/1/mrt-eml.xml	1	2	2694	ecso:wind	pato:velocity
ark:/90135/q14x55sv/1/mrt-eml.xml	1	3	3358	ecso:wind	pato:direction
ark:/90135/q1571903/1/mrt-eml.xml	1	1			
ark:/90135/q1571903/2/mrt-eml.xml	1	1	3358	ecso:wind	pato:direction
ark:/90135/q15x26ws/1/mrt-eml.xml	1	1			
ark:/90135/q15x26ws/1/mrt-eml.xml	1	2	3353	ecso:rain	pato:intensity
ark:/90135/q15x26ws/1/mrt-eml.xml	1	3	3355	ecso:hail	pato:intensity
ark:/90135/q1610x80/1/mrt-eml.xml	1	1	3355	ecso:hail	pato:intensity
ark:/90135/q1707zdt/2/mrt-eml.xml	1	1			
ark:/90135/q17p8wct/1/mrt-eml.xml	1	1			
ark:/90135/q17p8wct/1/mrt-eml.xml	1	2	2694	ecso:wind	pato:velocity
ark:/90135/q17p8wct/1/mrt-eml.xml	1	3	3358	ecso:wind	pato:direction
ark:/90135/q17s7kq7/1/mrt-eml.xml	1	1			
ark:/90135/q17s7kq7/1/mrt-eml.xml	1	2	2188	envo:air	pato:temperature
ark:/90135/q17s7kq7/1/mrt-eml.xml	1	3	2189	envo:air	pato:pressure
ark:/90135/q17s7kq7/1/mrt-eml.xml	1	4	2191	envo:air	ecso:relative_humidity
ark:/90135/q19021qd/1/mrt-eml.xml	1	1			
ark:/90135/q1930r39/1/mrt-eml.xml	1	1	3309	ecso:project	oboe-characteristics:Name
ark:/90135/q1930r39/1/mrt-eml.xml	1	2			
ark:/90135/q1930r39/1/mrt-eml.xml	1	3			
ark:/90135/q1930r39/1/mrt-eml.xml	1	4			
ark:/90135/q1930r39/1/mrt-eml.xml	1	5	2048	ecso:species	oboe-characteristics:Name
ark:/90135/q1930r39/1/mrt-eml.xml	1	6	3357	ecso:amphibian	pato:occurrence
ark:/90135/q1930r39/1/mrt-eml.xml	1	7			
ark:/90135/q1930r39/2/mrt-eml.xml	1	1	3309	ecso:project	oboe-characteristics:Name
ark:/90135/q1930r39/2/mrt-eml.xml	1	2			
ark:/90135/q1930r39/2/mrt-eml.xml	1	3			
ark:/90135/q1930r39/2/mrt-eml.xml	1	4			
ark:/90135/q1930r39/2/mrt-eml.xml	1	5	2048	ecso:species	oboe-characteristics:Name
ark:/90135/q1930r39/2/mrt-eml.xml	1	6	3357	ecso:amphibian	pato:occurrence
ark:/90135/q1930r39/2/mrt-eml.xml	1	7			
ark:/90135/q19k4866/1/mrt-eml.xml	1	1			
ark:/90135/q19k4866/1/mrt-eml.xml	1	2	3353	ecso:rain	pato:intensity
ark:/90135/q19k4866/1/mrt-eml.xml	1	3	3355	ecso:hail	pato:intensity
ark:/90135/q1br8q5p/2/mrt-eml.xml	1	1			
ark:/90135/q1cf9n23/1/mrt-eml.xml	1	1			
ark:/90135/q1cf9n23/1/mrt-eml.xml	1	2	2694	ecso:wind	pato:velocity
ark:/90135/q1cf9n23/1/mrt-eml.xml	1	3	3358	ecso:wind	pato:direction
ark:/90135/q1cj8bfz/1/mrt-eml.xml	1	1			
ark:/90135/q1cj8bfz/1/mrt-eml.xml	1	2	2188	envo:air	pato:temperature
ark:/90135/q1cj8bfz/1/mrt-eml.xml	1	3	2189	envo:air	pato:pressure
ark:/90135/q1cj8bfz/1/mrt-eml.xml	1	4	2191	envo:air	ecso:relative_humidity
ark:/90135/q1cr5r92/1/mrt-eml.xml	1	1			
ark:/90135/q1db7zsr/1/mrt-eml.xml	1	1			
ark:/90135/q1db7zsr/1/mrt-eml.xml	1	2			
ark:/90135/q1db7zsr/1/mrt-eml.xml	1	3	3353	ecso:rain	pato:intensity
ark:/90135/q1dv1gt9/2/mrt-eml.xml	1	1			
ark:/90135/q1f769jn/2/mrt-eml.xml	1	1		ecso:survey_respondent	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	2		ecso:survey_respondent	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	3		ecso:survey_respondent	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	4		ecso:survey_respondent	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	5		ecso:survey_respondent	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	6		ecso:survey_respondent	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	7		ecso:survey_respondent	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	8		ecso:survey_respondent	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	9		ecso:survey_system_data	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	10		ecso:survey_system_data	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	11		ecso:survey_system_data	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	12		ecso:survey_system_data	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	13		ecso:survey_system_data	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	14		ecso:survey_system_data	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	15		ecso:survey_system_data	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	16		ecso:survey_system_data	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	17		ecso:survey_system_data	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	18		ecso:survey_system_data	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	19		ecso:survey_system_data	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	20		ecso:survey_system_data	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	21		ecso:survey_question	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	22		ecso:survey_question	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	23		ecso:survey_question	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	24		ecso:survey_question	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	25		ecso:survey_question	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	26		ecso:survey_question	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	27		ecso:survey_question	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	28		ecso:survey_question	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	29		ecso:survey_question	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	30		ecso:survey_question	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	31		ecso:survey_question	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	32		ecso:survey_question	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	33		ecso:survey_question	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	34		ecso:survey_question	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	35		ecso:survey_question	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	36		ecso:survey_question	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	37		ecso:survey_question	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	38		ecso:survey_question	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	39		ecso:survey_question	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	40		ecso:survey_question	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	41		ecso:survey_question	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	42		ecso:survey_question	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	43		ecso:survey_question	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	44		ecso:survey_question	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	45		ecso:survey_question	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	46		ecso:survey_question	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	47		ecso:survey_question	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	48		ecso:survey_question	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	49		ecso:survey_question	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	50		ecso:survey_question	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	51		ecso:survey_question	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	52		ecso:survey_question	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	53		ecso:survey_question	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	54		ecso:survey_question	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	55		ecso:survey_question	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	56		ecso:survey_question	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	57		ecso:survey_question	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	58		ecso:survey_question	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	59		ecso:survey_question	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	60		ecso:survey_question	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	61		ecso:survey_question	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	62		ecso:survey_question	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	63		ecso:survey_question	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	64		ecso:survey_question	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	65		ecso:survey_question	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	66		ecso:survey_question	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	67		ecso:survey_question	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	68		ecso:survey_question	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	69		ecso:survey_question	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	70		ecso:survey_question	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	71		ecso:survey_question	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	72		ecso:survey_question	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	73		ecso:survey_question	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	74		ecso:survey_question	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	75		ecso:survey_question	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	76		ecso:survey_question	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	77		ecso:survey_question	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	78		ecso:survey_question	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	79		ecso:survey_question	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	80		ecso:survey_question	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	81		ecso:survey_question	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	82		ecso:survey_question	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	83		ecso:survey_question	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	84		ecso:survey_question	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	85		ecso:survey_question	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	86		ecso:survey_question	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	87		ecso:survey_question	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	88		ecso:survey_question	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	89		ecso:survey_question	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	90		ecso:survey_question	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	91		ecso:survey_question	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	92		ecso:survey_question	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	93		ecso:survey_question	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	94		ecso:survey_question	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	95		ecso:survey_question	
ark:/90135/q1f769jn/2/mrt-eml.xml	1	96		ecso:survey_question	
ark:/90135/q1gb221v/1/mrt-eml.xml	1	1			
ark:/90135/q1gb221v/1/mrt-eml.xml	1	2	2188	envo:air	pato:temperature
ark:/90135/q1gb221v/1/mrt-eml.xml	1	3	2189	envo:air	pato:pressure
ark:/90135/q1gb221v/1/mrt-eml.xml	1	4	2191	envo:air	ecso:relative_humidity
ark:/90135/q1gh9fw0/1/mrt-eml.xml	1	1			
ark:/90135/q1gh9fw0/2/mrt-eml.xml	1	1			
ark:/90135/q1h41pd3/1/mrt-eml.xml	1	1			
ark:/90135/q1h41pd3/1/mrt-eml.xml	1	2	2694	ecso:wind	pato:velocity
ark:/90135/q1h41pd3/1/mrt-eml.xml	1	3	3358	ecso:wind	pato:direction
ark:/90135/q1hd7sm2/1/mrt-eml.xml	1	1			
ark:/90135/q1j38qg1/1/mrt-eml.xml	1	1			
ark:/90135/q1j38qg1/1/mrt-eml.xml	1	2	3353	ecso:rain	pato:intensity
ark:/90135/q1j38qg1/1/mrt-eml.xml	1	3	3355	ecso:hail	pato:intensity
ark:/90135/q1j964bh/1/mrt-eml.xml	1	1			
ark:/90135/q1jm27kg/1/mrt-eml.xml	1	1			
ark:/90135/q1k35rmd/1/mrt-eml.xml	1	1			
ark:/90135/q1k35rmd/1/mrt-eml.xml	1	2	3353	ecso:rain	pato:intensity
ark:/90135/q1k35rmd/1/mrt-eml.xml	1	3	3355	ecso:hail	pato:intensity
ark:/90135/q1k935gw/1/mrt-eml.xml	1	1			
ark:/90135/q1kk98q9/1/mrt-eml.xml	1	1			
ark:/90135/q1kk98q9/2/mrt-eml.xml	1	1			
ark:/90135/q1m61h6z/1/mrt-eml.xml	1	1			
ark:/90135/q1m61h6z/2/mrt-eml.xml	1	1			
ark:/90135/q1m61h6z/3/mrt-eml.xml	1	1			
ark:/90135/q1mw2f32/1/mrt-eml.xml	1	1			
ark:/90135/q1mw2f32/1/mrt-eml.xml	1	2	2694	ecso:wind	pato:velocity
ark:/90135/q1mw2f32/1/mrt-eml.xml	1	3	3358	ecso:wind	pato:direction
ark:/90135/q1nv9g6f/1/mrt-eml.xml	1	1			
ark:/90135/q1nv9g6f/1/mrt-eml.xml	1	2	3353	ecso:rain	pato:intensity
ark:/90135/q1nv9g6f/1/mrt-eml.xml	1	3	3355	ecso:hail	pato:intensity
ark:/90135/q1pv6hbt/1/mrt-eml.xml	1	1			
ark:/90135/q1pv6hbt/1/mrt-eml.xml	1	2	3353	ecso:rain	pato:intensity
ark:/90135/q1pv6hbt/1/mrt-eml.xml	1	3	3355	ecso:hail	pato:intensity
ark:/90135/q1pz56sk/1/mrt-eml.xml	1	1			
ark:/90135/q1qn64p0/1/mrt-eml.xml	1	1			
ark:/90135/q1qn64p0/1/mrt-eml.xml	1	2			
ark:/90135/q1qn64p0/1/mrt-eml.xml	1	3	2694	ecso:wind	pato:velocity
ark:/90135/q1qv3jhn/1/mrt-eml.xml	1	1			
ark:/90135/q1qv3jhn/1/mrt-eml.xml	1	2	2188	envo:air	pato:temperature
ark:/90135/q1qv3jhn/1/mrt-eml.xml	1	3	2189	envo:air	pato:pressure
ark:/90135/q1qv3jhn/1/mrt-eml.xml	1	4	2191	envo:air	ecso:relative_humidity
ark:/90135/q1rn35tc/1/mrt-eml.xml	1	1			
ark:/90135/q1rn35tc/1/mrt-eml.xml	1	2	2694	ecso:wind	pato:velocity
ark:/90135/q1rn35tc/1/mrt-eml.xml	1	3	3358	ecso:wind	pato:direction
ark:/90135/q1rv0kn1/1/mrt-eml.xml	1	1			
ark:/90135/q1sf2t5k/3/mrt-eml.xml	1	1	3385	ecso:survey_answer	oboe-characteristics:Name
ark:/90135/q1sf2t5k/3/mrt-eml.xml	1	2	3385	ecso:survey_answer	oboe-characteristics:Name
ark:/90135/q1sf2t5k/3/mrt-eml.xml	1	3	3385	ecso:survey_answer	oboe-characteristics:Name
